id,decade,year,date,word,speaker,party,sentence,llm_label,annotator_1,annotator_2,adjudicated_label,notes
1804-c50f84-424,1800,1804,1804-01-01,freedom,Mr. Grattan,,"and equally sound, I contend, it will be found, whether you apply it to constitution where it is freedom, or to empire where it is strength, or to religion where it is light.",ambiguous,,,,
1804-406f2b-422,1800,1804,1804-01-01,liberty,Mr. Windham,,"—It now remained only for him to touch as briefly as possible on the several objections which might, perhaps, be made to these different alterations and points of reform, which he had taken the liberty to suggest to the house, as applicable to the present state of the forces, and the peculiar circumstances of the country at the present moment.",other,,,,
1804-5bf623-004,1800,1804,1804-01-01,liberty,[PETITION FROM MIDDLESEX RESPECTING THE 10th NAVAL REPORT.],,"—We humbly crave the liberty of stating, that no measures ever yet issued from the commons of England which had diffused more gladness or raised more expectations than the said votes of April the 8th and 10th, declaring lord viscount Melville to be 'guilty of a gross violation of the law and a high breach of duty;",other,,,,
1805-3169e4-033,1800,1805,1805-01-01,liberty,Unknown,,"If the house had been mistaken in their construction of his evidence, why should he not be at liberty to explain it, and to shew that they were mistaken in the conclusions they had drawn?",ambiguous,,,,
1805-111bab-013,1800,1805,1805-01-01,liberty,Mr. Tierney,,"Courtenay), who had been a long time, a warm advocate for parliamentary reform, and who still considered the noise and tumult attending po 
 520  
pular elections, as a genuine symptom of the spirit of British liberty.",negative_liberty,,,,
1805-284fe4-009,1800,1805,1805-01-01,freedom,Unknown,,"It was not his desire, the noble lord stated, to interfere with the freedom of trade, but the house would recollect that such an interference was warranted by the operation of the combination law, and that in this instance he had a precedent precisely in point, he meant the silk weavers' act, which limited the number of apprentices which masters should take.",negative_liberty,,,,
1805-5ed86b-081,1800,1805,1805-01-01,liberty,Mr. Hawthorne,,"The house would recollect, that it was proposed to augment the Irish militia 10,000 men, which by accepting their voluntary offers to the same amount, of transferring their services to this country, world have augmented the domestic force 10,000 men, and set at liberty a proportionate number of disposable there;",negative_liberty,,,,
1805-efce55-119,1800,1805,1805-01-01,freedom,Mr. Fox,,"if it should be understood that minister shall have the discretion of advancing the public money to merchants, for their accommodation, upon any conception that he might form of their necessity, or to prevent any possible evil that his extravagant fancy might suppose, could there be any security for our freedom?",negative_liberty,,,,
1805-b22925-002,1800,1805,1805-01-01,liberty,Mr. Perceval,,"member of that house at liberty to urge as an argument against it, that it was of a nature to produce such effects?",other,,,,
1805-7eb18c-008,1800,1805,1805-01-01,liberty,[MINUTES.] Mr. Johnson,,"Witbread, it was also ordered, that a clause be prepared, saving liberty to the commons to prefer any other articles of impeachment against lord viscount Melville, and that he be put to answer the same;",positive_liberty,,,,
